Total,Year,residence,region,wealth_q,eth_hoh,elderly_hoh,sex_hoh,sex_ch,mother_edu,ch_age_cat_0_5,ch_age_cat_6_8,ch_age_cat_9_23,ch_age_cat_12_23,ch_age_cat_6_23,breastmilk,liquids_none,solids_none,excl_bf,cont_1223_bf,formula_times,other_milk_times,yogurt_times,solid_semi_soft_times,mmf_bf_68,mmf_bf_923,solid_semi_soft_milk_times,mmf_nbf_623,mmf_ch,chweight
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Higher,0,0,0,0,0,0,0,0,,,0.0,3.0,1.0,2.0,0,0,100,0,,1.1064656210339303
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,1.0,0.0,2.0,0,0,0,0,,1.1064656210339303
Total,2011,Urban,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,2.0,0.0,1.0,0,0,0,0,,1.1064656210339303
Total,2011,Urban,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Secondary,0,0,100,100,100,100,0,0,,100.0,0.0,2.0,0.0,3.0,0,100,100,0,100.0,1.1064656210339303
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: YES,Male,CH Sex: Male,Mother Edu: Secondary,0,0,100,100,100,0,0,0,,0.0,0.0,2.0,1.0,3.0,0,0,100,100,100.0,1.1064656210339303
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Higher,0,0,0,0,0,0,0,0,,,0.0,2.0,0.0,3.0,0,0,100,0,,1.1064656210339303
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: YES,Male,CH Sex: Female,Mother Edu: Higher,0,0,0,0,0,0,0,0,,,0.0,2.0,0.0,2.0,0,0,100,0,,1.1064656210339303
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: YES,Male,CH Sex: Male,Mother Edu: Higher,0,0,0,0,0,0,0,0,,,0.0,2.0,1.0,2.0,0,0,100,0,,1.1064656210339303
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Higher,0,0,0,0,0,0,0,0,,,0.0,3.0,1.0,2.0,0,0,100,0,,0.941214262048343
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Secondary,0,0,100,100,100,0,0,0,,0.0,0.0,5.0,1.0,0.0,0,0,100,0,0.0,0.941214262048343
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Higher,0,0,0,0,0,0,0,0,,,0.0,2.0,0.0,3.0,0,0,100,0,,0.941214262048343
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: YES,Male,CH Sex: Male,Mother Edu: Higher,0,0,100,100,100,0,0,0,,0.0,0.0,4.0,1.0,2.0,0,0,100,100,100.0,0.941214262048343
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Higher,0,0,100,100,100,0,0,0,,0.0,0.0,2.0,1.0,3.0,0,0,100,100,100.0,0.941214262048343
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Higher,0,0,0,0,0,0,0,0,,,0.0,2.0,1.0,3.0,0,0,100,0,,0.941214262048343
Total,2011,Urban,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Higher,0,0,100,100,100,0,0,0,,0.0,0.0,4.0,0.0,3.0,0,0,100,100,100.0,1.3004563467996193
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,2.0,0.0,4.0,0,0,100,0,,1.3004563467996193
Total,2011,Urban,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,1.0,1.0,3.0,0,0,100,0,,1.3004563467996193
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Secondary,0,0,100,100,100,0,0,0,,0.0,0.0,3.0,0.0,3.0,0,0,100,100,100.0,1.3004563467996193
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,2.0,1.0,3.0,0,0,100,0,,2.0189405163021714
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,1.0,0.0,2.0,0,0,0,0,,2.0189405163021714
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,100,0,0,,,0.0,2.0,2.0,3.0,0,0,100,0,,2.0189405163021714
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: YES,Male,CH Sex: Female,Mother Edu: Secondary,0,100,0,0,100,0,0,0,,,5.0,0.0,0.0,3.0,0,0,100,100,100.0,2.0189405163021714
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Higher,0,0,0,0,0,0,0,0,,,0.0,2.0,1.0,2.0,0,0,100,0,,2.0189405163021714
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,0.0,0.0,2.0,0,0,0,0,,2.0189405163021714
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,3.0,1.0,2.0,0,0,100,0,,0.8478113200130115
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Higher,0,0,100,100,100,0,0,0,,0.0,0.0,3.0,0.0,2.0,0,0,100,100,100.0,0.8478113200130115
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Higher,100,0,0,0,0,100,0,100,0.0,,4.0,0.0,0.0,0.0,0,0,100,0,,0.8478113200130115
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Higher,0,0,100,100,100,0,0,0,,0.0,0.0,3.0,1.0,4.0,0,0,100,100,100.0,0.8478113200130115
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Higher,0,0,100,0,100,0,0,0,,,5.0,0.0,0.0,2.0,0,0,100,100,100.0,0.8478113200130115
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Higher,0,0,0,0,0,0,0,0,,,0.0,3.0,0.0,4.0,0,0,100,0,,1.135204987814032
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,2.0,1.0,2.0,0,0,100,0,,1.135204987814032
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Higher,0,0,100,100,100,100,0,0,,100.0,0.0,2.0,1.0,2.0,0,0,100,0,0.0,1.135204987814032
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,100,0,0,100,0,0,0,,,7.0,0.0,0.0,2.0,0,0,100,100,100.0,1.135204987814032
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Higher,0,0,100,100,100,100,0,0,,100.0,0.0,3.0,2.0,2.0,0,0,100,0,0.0,1.135204987814032
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Higher,100,0,0,0,0,100,100,100,100.0,,0.0,0.0,0.0,0.0,0,0,0,0,,1.135204987814032
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Higher,100,0,0,0,0,100,100,100,100.0,,0.0,0.0,0.0,0.0,0,0,0,0,,1.135204987814032
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: YES,Female,CH Sex: Female,Mother Edu: Higher,0,0,100,0,100,100,0,0,,,3.0,0.0,0.0,2.0,0,0,100,0,0.0,1.135204987814032
Total,2011,Rural,Red River Delta,Middle,Kinh and Hoa,Elderly HoH: YES,Male,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,2.0,1.0,3.0,0,0,100,0,,1.4229684376976954
Total,2011,Rural,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,100,0,0,100,100,0,0,,,0.0,0.0,0.0,3.0,100,0,0,0,100.0,1.4229684376976954
Total,2011,Rural,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,0,0,100,100,100,100,0,100,,100.0,0.0,2.0,0.0,0.0,0,0,0,0,0.0,1.4229684376976954
Total,2011,Rural,Red River Delta,Middle,Kinh and Hoa,Elderly HoH: YES,Male,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,3.0,0.0,3.0,0,0,100,0,,1.4229684376976954
Total,2011,Rural,Red River Delta,Middle,Kinh and Hoa,Elderly HoH: YES,Male,CH Sex: Female,Mother Edu: Secondary,0,100,0,0,100,100,0,0,,,0.0,3.0,0.0,2.0,100,0,100,0,100.0,1.4229684376976954
Total,2011,Rural,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,0.0,0.0,3.0,0,0,0,0,,1.4229684376976954
Total,2011,Rural,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,0.0,0.0,3.0,0,0,0,0,,1.4229684376976954
Total,2011,Rural,Red River Delta,Middle,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,0.0,0.0,3.0,0,0,0,0,,1.4229684376976954
Total,2011,Rural,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,3.0,0.0,3.0,0,0,100,0,,1.132757769483034
Total,2011,Rural,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,100,100,100,0,0,0,,0.0,0.0,4.0,0.0,3.0,0,0,100,100,100.0,1.132757769483034
Total,2011,Rural,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,3.0,0.0,3.0,0,0,100,0,,1.132757769483034
Total,2011,Rural,Red River Delta,Poor,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,0.0,0.0,3.0,0,0,0,0,,1.132757769483034
Total,2011,Rural,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,4.0,0.0,3.0,0,0,100,0,,1.132757769483034
Total,2011,Rural,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,2.0,0.0,3.0,0,0,100,0,,1.132757769483034
Total,2011,Rural,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,100,0,100,100,0,0,,,2.0,0.0,0.0,3.0,0,100,100,0,100.0,1.132757769483034
Total,2011,Rural,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: YES,Male,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,0,100,100,,,0.0,0.0,0.0,0.0,0,0,0,0,,1.132757769483034
Total,2011,Rural,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: YES,Male,CH Sex: Female,Mother Edu: Secondary,0,0,100,100,100,100,0,0,,100.0,0.0,1.0,1.0,3.0,0,100,100,0,100.0,1.132757769483034
Total,2011,Rural,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,4.0,0.0,4.0,0,0,100,0,,1.132757769483034
Total,2011,Rural,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Higher,100,0,0,0,0,100,100,100,100.0,,0.0,0.0,0.0,0.0,0,0,0,0,,1.217012479609871
Total,2011,Rural,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,2.0,1.0,3.0,0,0,100,0,,1.217012479609871
Total,2011,Rural,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,1.0,0.0,2.0,0,0,0,0,,1.217012479609871
Total,2011,Rural,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,100,100,100,100,0,100,,100.0,0.0,2.0,0.0,0.0,0,0,0,0,0.0,1.217012479609871
Total,2011,Rural,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,1.0,0.0,2.0,0,0,0,0,,1.217012479609871
Total,2011,Rural,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Higher,0,0,0,0,0,0,0,0,,,0.0,3.0,0.0,3.0,0,0,100,0,,1.217012479609871
Total,2011,Rural,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Higher,0,0,100,100,100,0,0,0,,0.0,0.0,3.0,0.0,3.0,0,0,100,100,100.0,1.217012479609871
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Secondary,0,0,100,100,100,100,0,0,,100.0,1.0,1.0,1.0,2.0,0,0,100,0,0.0,1.4872622308702828
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Higher,0,0,100,100,100,100,0,0,,100.0,0.0,1.0,1.0,2.0,0,0,100,0,0.0,1.4872622308702828
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: YES,Male,CH Sex: Male,Mother Edu: Higher,0,0,0,0,0,0,0,0,,,0.0,2.0,1.0,3.0,0,0,100,0,,1.4872622308702828
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Higher,0,0,100,100,100,0,0,0,,0.0,0.0,2.0,1.0,3.0,0,0,100,100,100.0,1.4872622308702828
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Higher,0,0,100,0,100,100,0,0,,,3.0,0.0,0.0,3.0,0,100,100,0,100.0,1.4872622308702828
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: YES,Female,CH Sex: Female,Mother Edu: Secondary,0,0,100,100,100,100,0,0,,100.0,0.0,3.0,2.0,3.0,0,100,100,0,100.0,1.4872622308702828
Total,2011,Rural,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,3.0,1.0,3.0,0,0,100,0,,2.190622463297768
