Total,Year,residence,region,wealth_q,eth_hoh,elderly_hoh,sex_hoh,sex_ch,mother_edu,ch_age_cat_0_5,ch_age_cat_6_8,ch_age_cat_9_23,ch_age_cat_12_23,ch_age_cat_6_23,breastmilk,liquids_none,solids_none,excl_bf,cont_1223_bf,grains,legumes,dairy,flesh,eggs,vitaminA,other,mdd_ch,formula_times,other_milk_times,yogurt_times,solid_semi_soft_times,mmf_bf_68,mmf_bf_923,solid_semi_soft_milk_times,mmf_nbf_623,mmf_ch,mad_bf_623,milk_feeds_2,mad_nbf_623,mad_ch,chweight
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Higher,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,0.822785912261799
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Higher,100,0,0,0,0,100,100,100,100.0,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,0.822785912261799
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Female,Male,Mother Edu: Secondary,0,0,100,100,100,100,0,0,,100.0,100,0,100,100,100,100,100,100.0,2.0,0.0,1.0,3.0,0,100,100,0,100.0,100,100,0,100.0,0.822785912261799
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: YES,Female,Female,Mother Edu: Higher,100,0,0,0,0,100,0,100,0.0,,0,0,100,0,0,0,0,,2.0,0.0,0.0,0.0,0,0,0,0,,0,100,0,,0.8753653331677212
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Female,Mother Edu: Higher,0,0,100,0,100,100,0,0,,,100,0,100,100,0,100,0,100.0,4.0,0.0,1.0,3.0,0,100,100,0,100.0,100,100,0,100.0,1.487638801615408
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Female,Mother Edu: Secondary,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,1.3761258773401948
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Secondary,0,0,100,100,100,0,0,0,,0.0,100,0,100,100,0,100,100,100.0,4.0,0.0,0.0,3.0,0,0,100,100,100.0,0,100,100,100.0,1.293467929872291
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: YES,Male,Male,Mother Edu: Higher,0,100,0,0,100,0,0,0,,,100,0,100,100,0,100,0,0.0,4.0,0.0,0.0,6.0,0,0,100,100,100.0,0,100,0,0.0,0.9820061050130015
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: YES,Male,Male,Mother Edu: Higher,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,0.9820061050130015
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: YES,Female,Male,Mother Edu: Higher,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,0.9820061050130015
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Higher,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,1.293467929872291
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Higher,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,1.293467929872291
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Higher,0,0,100,0,100,0,0,0,,,100,0,100,100,100,100,0,100.0,6.0,0.0,1.0,4.0,0,0,100,100,100.0,0,100,100,100.0,0.938785237597069
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Higher,0,0,100,0,100,0,0,0,,,100,0,100,100,100,100,0,100.0,6.0,0.0,1.0,4.0,0,0,100,100,100.0,0,100,100,100.0,0.938785237597069
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Female,Male,Mother Edu: Higher,0,0,100,100,100,0,0,0,,0.0,100,0,100,100,100,100,100,100.0,4.0,0.0,1.0,3.0,0,0,100,100,100.0,0,100,100,100.0,0.938785237597069
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Female,Female,Mother Edu: Secondary,0,0,100,100,100,100,0,0,,100.0,100,100,0,100,100,100,0,100.0,0.0,0.0,0.0,4.0,0,100,100,0,100.0,100,0,0,100.0,1.3155586835228341
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Female,Male,Mother Edu: Higher,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,1.0218195796933665
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Higher,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,1.3112928127458017
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Female,Mother Edu: Higher,0,0,100,100,100,0,0,0,,0.0,100,0,100,100,0,100,100,100.0,3.0,0.0,0.0,3.0,0,0,100,100,100.0,0,100,100,100.0,1.3950898439112234
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: YES,Male,Female,Mother Edu: Higher,0,0,100,0,100,100,0,0,,,100,0,100,100,100,100,100,100.0,3.0,0.0,1.0,3.0,0,100,100,0,100.0,100,100,0,100.0,0.8253444569867088
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Female,Female,Mother Edu: Higher,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,0.8253444569867088
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Higher,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,0.982063185116757
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Higher,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,1.293543114011437
Total,2021,Urban,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Higher,0,0,100,0,100,100,0,0,,,100,0,100,100,0,100,0,100.0,1.0,0.0,0.0,2.0,0,0,0,0,0.0,0,0,0,0.0,1.65999342945555
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Female,Mother Edu: Higher,0,100,0,0,100,100,0,0,,,100,0,100,100,0,100,0,100.0,2.0,0.0,1.0,4.0,100,0,100,0,100.0,100,100,0,100.0,1.7755688922506483
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Higher,100,0,0,0,0,100,0,0,0.0,,100,0,100,100,100,100,0,,3.0,0.0,1.0,4.0,0,0,100,0,,0,100,0,,1.3004976468824665
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Higher,0,0,100,0,100,0,0,0,,,100,0,100,100,100,100,0,100.0,5.0,0.0,0.0,4.0,0,0,100,100,100.0,0,100,100,100.0,1.3004976468824665
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Higher,0,0,100,0,100,0,0,0,,,100,0,100,100,100,100,0,100.0,5.0,0.0,0.0,5.0,0,0,100,100,100.0,0,100,100,100.0,1.3004976468824665
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Female,Mother Edu: Higher,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,1.3836048223257391
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Higher,0,100,0,0,100,100,0,0,,,100,0,100,100,0,100,0,100.0,3.0,0.0,0.0,2.0,100,0,100,0,100.0,100,100,0,100.0,1.3004976468824665
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Higher,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,1.3004976468824665
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Female,Mother Edu: Higher,0,0,100,0,100,100,0,0,,,100,0,0,100,100,100,0,100.0,0.0,0.0,0.0,5.0,0,100,100,0,100.0,100,0,0,100.0,1.7755688922506485
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Female,Mother Edu: Higher,0,0,100,100,100,100,0,0,,100.0,100,0,100,100,0,100,0,100.0,3.0,0.0,1.0,3.0,0,100,100,0,100.0,100,100,0,100.0,1.3836048223257391
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Female,Female,Mother Edu: Higher,100,0,0,0,0,100,0,100,0.0,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,1.3836048223257391
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Higher,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,1.6689181253128387
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Higher,0,0,100,100,100,0,0,0,,0.0,100,100,100,100,100,100,100,100.0,3.0,1.0,1.0,3.0,0,0,100,100,100.0,0,100,100,100.0,1.6689181253128387
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Female,Female,Mother Edu: Higher,100,0,0,0,0,100,100,100,100.0,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,1.7755688922506485
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: YES,Female,Male,Mother Edu: Higher,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,0.9736299961764624
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: YES,Female,Female,Mother Edu: Secondary,0,0,100,100,100,0,0,0,,0.0,100,0,100,100,100,100,0,100.0,2.0,0.0,0.0,4.0,0,0,100,100,100.0,0,100,100,100.0,0.7431360165281616
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Female,Mother Edu: Higher,0,0,100,100,100,100,0,0,,100.0,100,0,100,100,0,100,100,100.0,0.0,0.0,1.0,3.0,0,100,100,0,100.0,100,0,0,100.0,1.1447682756147484
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Female,Mother Edu: Secondary,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,1.1447682756147484
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: YES,Male,Male,Mother Edu: Higher,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,0.8169088700313577
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: YES,Male,Female,Mother Edu: Higher,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,0.8792558457595779
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: YES,Female,Female,Mother Edu: Primary,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,0.7518089068889221
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: YES,Female,Male,Mother Edu: Higher,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,0.8264427385385184
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Female,Male,Mother Edu: Secondary,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,0.7008809073783039
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: YES,Male,Female,Mother Edu: Secondary,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,0.9134246954793614
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Higher,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,1.37342274857681
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Higher,0,0,100,100,100,0,0,0,,0.0,100,0,100,100,100,100,0,100.0,0.0,2.0,0.0,4.0,0,0,100,100,100.0,0,100,100,100.0,1.7625023192556144
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Female,Mother Edu: Higher,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,1.4611901394655
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Higher,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,1.5750471501132093
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Female,Mother Edu: Secondary,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,2.150411213948007
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Higher,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,1.6689181253128385
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Higher,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,1.6689181253128385
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Female,Mother Edu: Higher,0,0,100,100,100,100,0,0,,100.0,100,0,100,0,0,100,100,100.0,0.0,4.0,0.0,4.0,0,100,100,0,100.0,100,100,0,100.0,1.7755688922506483
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Female,Male,Mother Edu: Higher,0,0,100,100,100,100,0,0,,100.0,100,100,100,100,100,100,0,100.0,6.0,0.0,0.0,1.0,0,0,100,0,0.0,0,100,0,0.0,1.3004976468824665
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Female,Male,Mother Edu: Higher,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,1.027625372759806
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Female,Male,Mother Edu: Higher,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,1.318743340090948
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Higher,0,0,100,100,100,100,0,0,,100.0,100,100,100,100,100,100,100,100.0,2.0,0.0,0.0,1.0,0,0,0,0,0.0,0,100,0,0.0,0.6368942352538114
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Higher,100,0,0,0,0,100,0,100,0.0,,0,0,100,0,0,0,0,,3.0,0.0,0.0,0.0,0,0,0,0,,0,100,0,,1.027625372759806
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: YES,Female,Male,Mother Edu: Higher,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,0.8361887794038078
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Higher,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,1.6530236669765257
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: YES,Male,Male,Mother Edu: Higher,100,0,0,0,0,100,100,100,100.0,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,0.9779398271454528
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Female,Female,Mother Edu: Higher,0,0,100,0,100,100,0,0,,,100,0,100,100,0,100,0,100.0,3.0,0.0,0.0,1.0,0,0,100,0,0.0,0,100,0,0.0,1.3704276335416847
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Female,Mother Edu: Higher,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,1.3704276335416847
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Female,Mother Edu: Secondary,0,0,100,100,100,0,0,0,,0.0,100,100,100,0,100,100,0,100.0,0.0,0.0,2.0,1.0,0,0,0,0,0.0,0,100,0,0.0,1.6548991617093425
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Higher,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,1.5554965051459466
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Female,Male,Mother Edu: Secondary,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,1.2121143116574444
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Higher,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,1.5554965051459466
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Female,Mother Edu: Higher,0,0,100,100,100,0,0,0,,0.0,100,0,100,100,0,100,0,0.0,2.0,0.0,0.0,1.0,0,0,0,0,0.0,0,100,0,0.0,1.289573426633699
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Higher,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,1.2121143116574444
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Female,Mother Edu: Higher,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,1.6548991617093425
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Female,Mother Edu: Higher,0,0,100,100,100,0,0,0,,0.0,100,0,100,100,100,100,100,100.0,5.0,0.0,0.0,5.0,0,0,100,100,100.0,0,100,100,100.0,1.6548991617093425
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Higher,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,1.2121143116574444
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Higher,0,0,100,100,100,100,0,0,,100.0,100,0,100,100,0,100,0,100.0,7.0,0.0,0.0,6.0,0,100,100,0,100.0,100,100,0,100.0,1.2121143116574444
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Higher,0,0,100,100,100,100,0,0,,100.0,100,0,100,100,0,100,0,100.0,7.0,0.0,0.0,6.0,0,100,100,0,100.0,100,100,0,100.0,1.2121143116574444
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Higher,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,1.2121143116574444
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Female,Mother Edu: Higher,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,1.6548991617093425
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: YES,Female,Male,Mother Edu: Higher,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,0.9150984780277571
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Secondary,100,0,0,0,0,100,0,100,0.0,,0,0,100,0,0,0,0,,3.0,0.0,0.0,0.0,0,0,0,0,,0,100,0,,1.016282929351861
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: YES,Male,Male,Mother Edu: Higher,0,0,100,100,100,0,0,0,,0.0,100,0,100,100,100,100,100,100.0,4.0,0.0,1.0,7.0,0,0,100,100,100.0,0,100,100,100.0,0.7715661269951705
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Higher,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,1.016282929351861
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: YES,Female,Male,Mother Edu: Secondary,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,0.7715661269951705
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Female,Mother Edu: Secondary,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,1.0504383998012654
Total,2021,Urban,Red River Delta,Richest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Female,Mother Edu: Higher,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,1.3836048223257391
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Secondary,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,1.6689181253128385
Total,2021,Rural,Red River Delta,Middle,Kinh and Hoa,Elderly HoH: NO,Male,Female,Mother Edu: Higher,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,1.625287331537708
Total,2021,Rural,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: NO,Male,Female,Mother Edu: Higher,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,1.6376001143523882
