Total,Year,residence,region,wealth_q,eth_hoh,elderly_hoh,sex_hoh,sex_ch,mother_edu,ch_age_cat_0_5,ch_age_cat_6_8,ch_age_cat_9_23,ch_age_cat_12_23,ch_age_cat_6_23,breastmilk,liquids_none,solids_none,excl_bf,cont_1223_bf,chweight
Total,2006,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Female,Mother Edu: Higher,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: YES,Male,Female,Mother Edu: Higher,0,0,100,0,100,0,0,0,,,1.633982559046864
Total,2006,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Higher,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Female,Male,Mother Edu: Secondary,0,100,0,0,100,100,0,0,,,1.633982559046864
Total,2006,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: YES,Female,Male,Mother Edu: Secondary,100,0,0,0,0,100,0,100,0.0,,1.633982559046864
Total,2006,Rural,Red River Delta,Middle,Kinh and Hoa,Elderly HoH: NO,Male,Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Rural,Red River Delta,Middle,Kinh and Hoa,Elderly HoH: NO,Male,Female,Mother Edu: Secondary,0,0,100,0,100,0,0,0,,,1.633982559046864
Total,2006,Rural,Red River Delta,Middle,Kinh and Hoa,Elderly HoH: NO,Male,Female,Mother Edu: Secondary,0,0,100,100,100,0,0,0,,0.0,1.633982559046864
Total,2006,Rural,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Secondary,0,0,100,100,100,0,0,0,,0.0,1.633982559046864
Total,2006,Rural,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Secondary,0,0,0,0,0,100,0,0,,,1.633982559046864
Total,2006,Rural,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: YES,Female,Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Rural,Red River Delta,Middle,Kinh and Hoa,Elderly HoH: NO,Male,Female,Mother Edu: Secondary,0,0,100,100,100,100,0,0,,100.0,1.633982559046864
Total,2006,Rural,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: NO,Male,Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Rural,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: NO,Male,Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: YES,Female,Female,Mother Edu: Higher,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: YES,Male,Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Female,Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Urban,Red River Delta,Richest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Female,Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: YES,Male,Female,Mother Edu: Higher,100,0,0,0,0,100,0,100,0.0,,1.633982559046864
Total,2006,Urban,Red River Delta,Richest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Female,Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Female,Male,Mother Edu: Higher,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Female,Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: YES,Male,Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Secondary,0,0,100,0,100,100,0,0,,,1.633982559046864
Total,2006,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: YES,Male,Female,Mother Edu: Secondary,0,0,100,100,100,0,0,0,,0.0,1.633982559046864
Total,2006,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Secondary,0,0,100,100,100,100,0,0,,100.0,1.633982559046864
Total,2006,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Secondary,0,0,0,0,0,100,0,0,,,1.633982559046864
Total,2006,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Urban,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: YES,Male,Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Urban,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: YES,Female,Male,Mother Edu: Secondary,0,0,100,100,100,100,0,0,,100.0,1.633982559046864
Total,2006,Urban,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Urban,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: YES,Male,Male,Mother Edu: Secondary,0,0,100,100,100,0,0,0,,0.0,1.633982559046864
Total,2006,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Female,Male,Mother Edu: Secondary,0,0,100,0,100,100,0,0,,,1.633982559046864
Total,2006,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: YES,Male,Male,Mother Edu: Higher,0,0,100,0,100,100,0,100,,,1.633982559046864
Total,2006,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: YES,Male,Male,Mother Edu: Secondary,0,0,100,0,100,100,0,0,,,1.633982559046864
Total,2006,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Female,Male,Mother Edu: Secondary,0,0,100,100,100,100,0,0,,100.0,1.633982559046864
Total,2006,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: YES,Male,Female,Mother Edu: Higher,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Female,Mother Edu: Secondary,0,0,100,100,100,0,0,0,,0.0,1.633982559046864
Total,2006,Rural,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: YES,Male,Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Rural,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Female,Mother Edu: Secondary,0,0,100,100,100,100,0,0,,100.0,1.633982559046864
Total,2006,Rural,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Rural,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Rural,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: NO,Male,Female,Mother Edu: Secondary,0,0,100,100,100,0,0,0,,0.0,1.633982559046864
Total,2006,Rural,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Secondary,100,0,0,0,0,100,0,100,0.0,,1.633982559046864
Total,2006,Rural,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Rural,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Rural,Red River Delta,Middle,Kinh and Hoa,Elderly HoH: YES,Female,Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Rural,Red River Delta,Middle,Kinh and Hoa,Elderly HoH: NO,Male,Female,Mother Edu: Secondary,100,0,0,0,0,100,100,100,100.0,,1.633982559046864
Total,2006,Rural,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Higher,0,0,100,100,100,0,0,0,,0.0,1.633982559046864
Total,2006,Rural,Red River Delta,Middle,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Secondary,0,0,100,100,100,0,0,0,,0.0,1.633982559046864
Total,2006,Rural,Red River Delta,Middle,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Secondary,0,0,100,100,100,0,0,0,,0.0,1.633982559046864
Total,2006,Rural,Red River Delta,Middle,Kinh and Hoa,Elderly HoH: NO,Male,Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Rural,Red River Delta,Middle,Kinh and Hoa,Elderly HoH: NO,Male,Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Rural,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Rural,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: YES,Male,Male,Mother Edu: Higher,0,0,100,100,100,100,0,0,,100.0,1.633982559046864
Total,2006,Rural,Red River Delta,Poor,Kinh and Hoa,Elderly HoH: NO,Female,Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Rural,Red River Delta,Middle,Kinh and Hoa,Elderly HoH: YES,Female,Female,Mother Edu: Secondary,0,0,0,0,0,100,0,0,,,1.633982559046864
Total,2006,Rural,Red River Delta,Poor,Kinh and Hoa,Elderly HoH: YES,Female,Female,Mother Edu: Primary,0,0,100,100,100,100,0,0,,100.0,1.633982559046864
Total,2006,Rural,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Female,Mother Edu: Secondary,0,0,100,100,100,100,0,0,,100.0,1.633982559046864
Total,2006,Rural,Red River Delta,Middle,Kinh and Hoa,Elderly HoH: YES,Male,Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Rural,Red River Delta,Middle,Kinh and Hoa,Elderly HoH: YES,Male,Male,Mother Edu: Secondary,0,0,100,100,100,0,0,0,,0.0,1.633982559046864
Total,2006,Rural,Red River Delta,Middle,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Rural,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: YES,Male,Male,Mother Edu: Secondary,0,0,100,100,100,100,0,0,,100.0,1.633982559046864
Total,2006,Rural,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Secondary,0,0,100,100,100,100,0,0,,100.0,1.633982559046864
Total,2006,Rural,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Secondary,0,0,100,100,100,0,0,0,,0.0,1.633982559046864
Total,2006,Rural,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Secondary,0,0,0,0,0,100,0,0,,,1.633982559046864
Total,2006,Rural,Red River Delta,Middle,Kinh and Hoa,Elderly HoH: YES,Female,Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Rural,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Secondary,100,0,0,0,0,100,100,100,100.0,,1.633982559046864
Total,2006,Rural,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Female,Mother Edu: Secondary,0,0,100,100,100,100,0,0,,100.0,1.633982559046864
Total,2006,Rural,Red River Delta,Middle,Kinh and Hoa,Elderly HoH: NO,Male,Female,Mother Edu: Secondary,0,0,0,0,0,100,0,0,,,1.633982559046864
Total,2006,Rural,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Rural,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: NO,Male,Female,Mother Edu: Primary,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Rural,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Primary,0,100,0,0,100,100,0,100,,,1.633982559046864
Total,2006,Rural,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: YES,Male,Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Rural,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: YES,Male,Male,Mother Edu: Secondary,0,100,0,0,100,100,0,0,,,1.633982559046864
Total,2006,Rural,Red River Delta,Middle,Kinh and Hoa,Elderly HoH: YES,Female,Male,Mother Edu: Primary,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Rural,Red River Delta,Middle,Kinh and Hoa,Elderly HoH: YES,Female,Male,Mother Edu: Primary,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Rural,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: NO,Male,Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Rural,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Female,Mother Edu: Higher,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Rural,Red River Delta,Middle,Kinh and Hoa,Elderly HoH: YES,Female,Male,Mother Edu: Primary,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Female,Male,Mother Edu: Higher,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: YES,Female,Male,Mother Edu: Secondary,0,0,100,100,100,0,0,0,,0.0,1.633982559046864
Total,2006,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: YES,Male,Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: YES,Female,Female,Mother Edu: Higher,0,0,100,100,100,0,0,0,,0.0,1.633982559046864
Total,2006,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Female,Male,Mother Edu: Secondary,0,100,0,0,100,100,0,0,,,1.633982559046864
Total,2006,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Female,Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Higher,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Rural,Red River Delta,Middle,Kinh and Hoa,Elderly HoH: YES,Male,Male,Mother Edu: Secondary,0,0,100,100,100,0,0,0,,0.0,1.633982559046864
Total,2006,Rural,Red River Delta,Middle,Kinh and Hoa,Elderly HoH: NO,Male,Female,Mother Edu: Primary,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Rural,Red River Delta,Middle,Kinh and Hoa,Elderly HoH: NO,Male,Female,Mother Edu: Primary,0,0,100,100,100,0,0,0,,0.0,1.633982559046864
Total,2006,Rural,Red River Delta,Poor,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Rural,Red River Delta,Poor,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Primary,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Rural,Red River Delta,Middle,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Secondary,0,0,100,100,100,0,0,0,,0.0,1.633982559046864
Total,2006,Rural,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: YES,Male,Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Rural,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: YES,Male,Female,Mother Edu: Secondary,0,100,0,0,100,100,0,100,,,1.633982559046864
Total,2006,Rural,Red River Delta,Middle,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Rural,Red River Delta,Middle,Kinh and Hoa,Elderly HoH: YES,Male,Female,Mother Edu: Secondary,0,100,0,0,100,100,0,100,,,1.633982559046864
Total,2006,Rural,Red River Delta,Middle,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Rural,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Higher,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Rural,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: NO,Male,Female,Mother Edu: Secondary,100,0,0,0,0,100,100,100,100.0,,1.633982559046864
Total,2006,Rural,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Primary,0,0,100,100,100,0,0,0,,0.0,1.633982559046864
Total,2006,Rural,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: YES,Male,Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Rural,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Rural,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Secondary,0,0,100,100,100,100,0,0,,100.0,1.633982559046864
Total,2006,Rural,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: YES,Male,Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Rural,Red River Delta,Middle,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Rural,Red River Delta,Middle,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Rural,Red River Delta,Middle,Kinh and Hoa,Elderly HoH: NO,Male,Female,Mother Edu: Primary,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Rural,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: NO,Female,Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Rural,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: NO,Female,Male,Mother Edu: Secondary,0,0,100,100,100,100,0,0,,100.0,1.633982559046864
Total,2006,Rural,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Rural,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Secondary,0,0,100,100,100,100,0,0,,100.0,1.633982559046864
Total,2006,Rural,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Rural,Red River Delta,Middle,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Secondary,0,0,100,100,100,100,0,0,,100.0,1.633982559046864
Total,2006,Rural,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Rural,Red River Delta,Middle,Kinh and Hoa,Elderly HoH: NO,Male,Female,Mother Edu: Secondary,0,0,100,0,100,100,0,0,,,1.633982559046864
Total,2006,Rural,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: NO,Male,Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Rural,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Rural,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: YES,Male,Female,Mother Edu: Secondary,100,0,0,0,0,100,0,100,0.0,,1.633982559046864
Total,2006,Rural,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: YES,Male,Male,Mother Edu: Higher,0,0,100,100,100,100,0,0,,100.0,1.633982559046864
Total,2006,Rural,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Female,Male,Mother Edu: Secondary,100,0,0,0,0,100,0,100,0.0,,1.633982559046864
Total,2006,Rural,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Female,Mother Edu: Secondary,0,100,0,0,100,100,0,0,,,1.633982559046864
Total,2006,Rural,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Primary,0,100,0,0,100,100,0,0,,,1.633982559046864
Total,2006,Rural,Red River Delta,Middle,Kinh and Hoa,Elderly HoH: NO,Male,Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Rural,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Rural,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: NO,Male,Female,Mother Edu: Primary,100,0,0,0,0,100,100,100,100.0,,1.633982559046864
Total,2006,Rural,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Secondary,0,0,100,100,100,100,0,0,,100.0,1.633982559046864
Total,2006,Rural,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Rural,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: YES,Male,Female,Mother Edu: Higher,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Rural,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: YES,Male,Male,Mother Edu: Higher,100,0,0,0,0,100,0,100,0.0,,1.633982559046864
Total,2006,Rural,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: YES,Female,Male,Mother Edu: Secondary,100,0,0,0,0,100,0,100,0.0,,1.633982559046864
Total,2006,Rural,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: NO,Male,Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Rural,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: NO,Male,Female,Mother Edu: Secondary,100,0,0,0,0,100,0,100,0.0,,1.633982559046864
Total,2006,Rural,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Primary,100,0,0,0,0,100,0,100,0.0,,1.633982559046864
Total,2006,Rural,Red River Delta,Middle,Kinh and Hoa,Elderly HoH: YES,Female,Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Rural,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: YES,Male,Male,Mother Edu: Secondary,0,0,100,100,100,100,0,0,,100.0,1.633982559046864
Total,2006,Rural,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.633982559046864
Total,2006,Rural,Red River Delta,Middle,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Higher,0,0,0,0,0,0,0,0,,,1.633982559046864
