Total,Year,residence,region,wealth_q,eth_hoh,elderly_hoh,sex_hoh,mother_edu,bw_less_25,bw_equal_25,WMWEIGHT
Total,2000,Rural,DB,Poor,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,1.1885121920277593
Total,2000,Rural,DB,Poor,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,1.1885121920277593
Total,2000,Rural,DB,Middle,Other/Missing,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,1.1885121920277593
Total,2000,Rural,DB,Poorest,Other/Missing,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,1.1885121920277593
Total,2000,Rural,DB,Poorest,Other/Missing,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,1.1885121920277593
Total,2000,Rural,DB,Poorest,Other/Missing,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,1.1885121920277593
Total,2000,Rural,DB,Poor,Other/Missing,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,1.1885121920277593
Total,2000,Urban,DB,Middle,Kinh and Hoa,Elderly HoH: YES,Female,Mother Edu: Secondary,0,0,1.4759549190377923
Total,2000,Rural,DB,Poor,Other/Missing,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,1.1885121920277593
Total,2000,Rural,DB,Poorest,Other/Missing,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,1.1885121920277593
Total,2000,Rural,DB,Poorest,Other/Missing,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,1.1885121920277593
Total,2000,Rural,DB,Poorest,Other/Missing,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,1.1885121920277593
Total,2000,Rural,DB,Poorest,Other/Missing,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,1.1885121920277593
Total,2000,Rural,DB,Poor,Other/Missing,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,1.1885121920277593
Total,2000,Rural,DB,Poorest,Other/Missing,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,1.1885121920277593
Total,2000,Rural,DB,Poorest,Other/Missing,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,1.1885121920277593
Total,2000,Rural,DB,Poorest,Other/Missing,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,1.1885121920277593
Total,2000,Rural,DB,Poorest,Other/Missing,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,1.1885121920277593
Total,2000,Urban,DB,Rich,Kinh and Hoa,Elderly HoH: NO,Female,Mother Edu: Secondary,0,0,1.4759549190377923
Total,2000,Urban,DB,Richest,Kinh and Hoa,Elderly HoH: NO,Female,Mother Edu: Secondary,0,0,1.4759549190377923
Total,2000,Urban,DB,Rich,Kinh and Hoa,Elderly HoH: NO,Female,Mother Edu: None/Primary,0,0,1.4759549190377923
Total,2000,Rural,DB,Middle,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,1.1885121920277593
Total,2000,Rural,DB,Poorest,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,1.1885121920277593
Total,2000,Rural,DB,Rich,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,1.1885121920277593
Total,2000,Rural,DB,Poor,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,1.1885121920277593
Total,2000,Rural,DB,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,1.1885121920277593
Total,2000,Rural,DB,Poor,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,1.1885121920277593
Total,2000,Rural,DB,Poor,"Tay, Thai, Muong, Nung",Elderly HoH: YES,Male,Mother Edu: None/Primary,0,0,1.1885121920277593
Total,2000,Rural,DB,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,1.1885121920277593
Total,2000,Rural,DB,Middle,Kinh and Hoa,Elderly HoH: NO,Female,Mother Edu: Secondary,0,0,1.1885121920277593
Total,2000,Rural,DB,Rich,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,1.1885121920277593
Total,2000,Rural,DB,Rich,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,1.1885121920277593
Total,2000,Rural,DB,Rich,Kinh and Hoa,Elderly HoH: YES,Male,Mother Edu: Secondary,0,0,1.1885121920277593
Total,2000,Rural,DB,Rich,Kinh and Hoa,Elderly HoH: NO,Female,Mother Edu: Secondary,0,0,1.1885121920277593
Total,2000,Rural,DB,Middle,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,1.1885121920277593
Total,2000,Rural,DB,Middle,Kinh and Hoa,Elderly HoH: NO,Female,Mother Edu: Secondary,0,0,1.1885121920277593
Total,2000,Rural,DB,Middle,Kinh and Hoa,Elderly HoH: NO,Female,Mother Edu: Secondary,0,0,1.1885121920277593
Total,2000,Rural,DB,Rich,Kinh and Hoa,Elderly HoH: YES,Male,Mother Edu: Secondary,0,0,1.1885121920277593
Total,2000,Urban,DB,Rich,Kinh and Hoa,Elderly HoH: YES,Male,Mother Edu: Secondary,0,0,1.4759549190377923
Total,2000,Urban,DB,Rich,Kinh and Hoa,Elderly HoH: NO,Female,Mother Edu: Higher,0,0,1.4759549190377923
Total,2000,Rural,DB,Middle,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,1.1885121920277593
Total,2000,Rural,DB,Middle,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,1.1885121920277593
Total,2000,Rural,DB,Poor,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,1.1885121920277593
Total,2000,Rural,DB,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,1.1885121920277593
Total,2000,Rural,DB,Middle,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,1.1885121920277593
Total,2000,Rural,DB,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,1.1885121920277593
Total,2000,Rural,DB,Poorest,Kinh and Hoa,Elderly HoH: YES,Female,Mother Edu: None/Primary,0,0,1.1885121920277593
Total,2000,Rural,DB,Poor,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,1.1885121920277593
Total,2000,Rural,DB,Richest,Kinh and Hoa,Elderly HoH: YES,Male,Mother Edu: Secondary,0,0,1.1885121920277593
Total,2000,Rural,DB,Rich,Kinh and Hoa,Elderly HoH: YES,Female,Mother Edu: Secondary,0,0,1.1885121920277593
Total,2000,Rural,DB,Middle,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,1.1885121920277593
Total,2000,Rural,DB,Rich,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,1.1885121920277593
Total,2000,Rural,DB,Rich,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,1.1885121920277593
Total,2000,Rural,DB,Rich,Kinh and Hoa,Elderly HoH: NO,Female,Mother Edu: None/Primary,0,0,1.1885121920277593
Total,2000,Rural,DB,Rich,Kinh and Hoa,Elderly HoH: YES,Male,Mother Edu: Secondary,0,0,1.1885121920277593
Total,2000,Rural,DB,Middle,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,1.1885121920277593
Total,2000,Rural,DB,Poor,Kinh and Hoa,Elderly HoH: YES,Male,Mother Edu: Secondary,0,0,1.1885121920277593
Total,2000,Rural,DB,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,1.1885121920277593
Total,2000,Rural,DB,Rich,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,1.1885121920277593
Total,2000,Rural,DB,Poor,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,1.1885121920277593
Total,2000,Urban,Northern Midlands and Mountain,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Higher,0,0,0.356138057281427
Total,2000,Rural,Northern Midlands and Mountain,Poorest,Mong,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.21731687791255574
Total,2000,Rural,Northern Midlands and Mountain,Poorest,Mong,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.21731687791255574
Total,2000,Rural,Northern Midlands and Mountain,Poorest,Mong,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.21731687791255574
Total,2000,Rural,Northern Midlands and Mountain,Poorest,Mong,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.21731687791255574
Total,2000,Rural,Northern Midlands and Mountain,Poorest,Mong,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.21731687791255574
Total,2000,Rural,Northern Midlands and Mountain,Poorest,Mong,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.21731687791255574
Total,2000,Rural,Northern Midlands and Mountain,Poorest,Mong,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.21731687791255574
Total,2000,Rural,Northern Midlands and Mountain,Poorest,Other/Missing,Elderly HoH: YES,Male,Mother Edu: None/Primary,0,0,0.21731687791255574
Total,2000,Rural,Northern Midlands and Mountain,Rich,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,0.21731687791255574
Total,2000,Rural,Northern Midlands and Mountain,Poor,Mong,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.21731687791255574
Total,2000,Rural,Northern Midlands and Mountain,Poorest,Mong,Elderly HoH: YES,Male,Mother Edu: None/Primary,0,0,0.21731687791255574
Total,2000,Rural,Northern Midlands and Mountain,Poorest,Mong,Elderly HoH: YES,Male,Mother Edu: None/Primary,0,0,0.21731687791255574
Total,2000,Rural,Northern Midlands and Mountain,Poorest,Mong,Elderly HoH: YES,Male,Mother Edu: None/Primary,0,0,0.21731687791255574
Total,2000,Rural,Northern Midlands and Mountain,Poorest,Other/Missing,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.21731687791255574
Total,2000,Rural,Northern Midlands and Mountain,Poorest,Mong,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.21731687791255574
Total,2000,Rural,Northern Midlands and Mountain,Poorest,Mong,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.21731687791255574
Total,2000,Rural,Northern Midlands and Mountain,Poorest,Mong,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.21731687791255574
Total,2000,Rural,Northern Midlands and Mountain,Poorest,Mong,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.21731687791255574
Total,2000,Rural,Northern Midlands and Mountain,Middle,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,0.21731687791255574
Total,2000,Rural,Northern Midlands and Mountain,Poorest,Mong,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.21731687791255574
Total,2000,Rural,Northern Midlands and Mountain,Poorest,Mong,Elderly HoH: NO,Female,Mother Edu: None/Primary,0,0,0.21731687791255574
Total,2000,Rural,Northern Midlands and Mountain,Poorest,Mong,Elderly HoH: YES,Male,Mother Edu: None/Primary,0,0,0.21731687791255574
Total,2000,Rural,Northern Midlands and Mountain,Poorest,Mong,Elderly HoH: YES,Male,Mother Edu: None/Primary,0,0,0.21731687791255574
Total,2000,Rural,Northern Midlands and Mountain,Poor,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.21731687791255574
Total,2000,Rural,Northern Midlands and Mountain,Middle,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.21731687791255574
Total,2000,Rural,Northern Midlands and Mountain,Poor,Other/Missing,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.21731687791255574
Total,2000,Rural,Northern Midlands and Mountain,Poorest,Other/Missing,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.21731687791255574
Total,2000,Rural,Northern Midlands and Mountain,Poorest,Other/Missing,Elderly HoH: YES,Male,Mother Edu: None/Primary,0,0,0.21731687791255574
Total,2000,Rural,Northern Midlands and Mountain,Poor,Other/Missing,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.21731687791255574
Total,2000,Rural,Northern Midlands and Mountain,Poorest,Other/Missing,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.21731687791255574
Total,2000,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.21731687791255574
Total,2000,Rural,Northern Midlands and Mountain,Poorest,Mong,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.21731687791255574
Total,2000,Rural,Northern Midlands and Mountain,Poorest,Mong,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.21731687791255574
Total,2000,Rural,Northern Midlands and Mountain,Poorest,Mong,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.21731687791255574
Total,2000,Rural,Northern Midlands and Mountain,Poorest,Mong,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.21731687791255574
Total,2000,Rural,Northern Midlands and Mountain,Poor,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.21731687791255574
Total,2000,Rural,Northern Midlands and Mountain,Poor,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.21731687791255574
Total,2000,Rural,Northern Midlands and Mountain,Middle,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.21731687791255574
Total,2000,Rural,Northern Midlands and Mountain,Poor,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.21731687791255574
Total,2000,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.21731687791255574
Total,2000,Urban,Northern Midlands and Mountain,Middle,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.356138057281427
Total,2000,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.21731687791255574
Total,2000,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.21731687791255574
Total,2000,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: YES,Male,Mother Edu: None/Primary,0,0,0.21731687791255574
Total,2000,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.21731687791255574
Total,2000,Rural,Northern Midlands and Mountain,Middle,"Tay, Thai, Muong, Nung",Elderly HoH: YES,Male,Mother Edu: Secondary,0,0,0.21731687791255574
Total,2000,Rural,Northern Midlands and Mountain,Poor,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.21731687791255574
Total,2000,Rural,Northern Midlands and Mountain,Poor,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Female,Mother Edu: Secondary,0,0,0.21731687791255574
Total,2000,Rural,Northern Midlands and Mountain,Rich,"Tay, Thai, Muong, Nung",Elderly HoH: YES,Female,Mother Edu: Secondary,0,0,0.21731687791255574
Total,2000,Urban,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Female,Mother Edu: Secondary,0,0,0.356138057281427
Total,2000,Urban,Northern Midlands and Mountain,Middle,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,0.356138057281427
Total,2000,Rural,Northern Midlands and Mountain,Poor,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,0.21731687791255574
Total,2000,Rural,Northern Midlands and Mountain,Poor,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,0.21731687791255574
Total,2000,Rural,Northern Midlands and Mountain,Middle,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.21731687791255574
Total,2000,Rural,Northern Midlands and Mountain,Rich,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Mother Edu: Secondary,1,0,0.21731687791255574
Total,2000,Rural,Northern Midlands and Mountain,Middle,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,0.21731687791255574
Total,2000,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.21731687791255574
